title,author,rating,description,genre
미친 재능의 플레이어,S-Nanyc / 호라칸 / 체나,9.75,"세상의 운명이 걸린 게임이 시작되고 6년. 
한 번도 톱 랭커의 자리를 내어주지 않은 최강의 플레이어,
영웅왕 강유성 역시 새로운 시즌을 맞이한다. 

“저는…… X나 예전에 끝났습니다. 돈 때문에 하는 거죠.” 
[도발 수치가 대폭 상승합니다!] 
[어릿광대 군주가 계약자의 행동에 흡족함을 표시합니다!] 

미친 재능의 플레이어가 살아남는 법이 펼쳐진다!",판타지
막장 악녀,LICO,9.86,"현생에서는 비루한 보조작가인 내가, 
자고 일어났더니 막장 드라마 속 악녀라고?
(잠깐, 악녀들은 다 부자잖아?!) 
부를 거머쥔 악역 여주에 심취한 것도 잠시,
이 막장드라마 세계관에서 탈출하려면 
내 손으로 엔딩을 내야 한다! 
그렇게 매콤한 김치싸대기 로맨스를 장전하게 되는데?!",드라마
찔레꽃 그늘 아래,해람 / 홍이,9.92,"욕망과 동란의 도시, 경성.
그 안에 핀 웃지 않는 꽃, 기생 이선.
그녀의 모든 것을 앗아갔던 남자, 한서진을 10년 만에 다시 만난다.
가슴을 에는 고통. 매 순간 살아나는 아픈 기억. 그걸 끝내는 방법은 한서진에게 복수하는 것뿐.
인연은 악연이 되고, 증오 위에 꽃은 피어난다. 상처 입히고, 탐닉하며, 또다시 함께 떨어져 간다.
슬픈 낭만의 도시, 경성에서.",로맨스
보스리턴,양세준,9.85,"형님이 돌아왔다!?
전국구 조직의 보스 '백강훈', 믿었던 부하의 칼에 맞고 고교생으로 회귀!
아내의 죽음을 되풀이하지 않기 위해 폭력 없는 새 삶을 살 수 있을까?",액션
함부로 친절하지 말라,도림 / 류화 / 유세라,9.95,"수백 년간 '장벽'과 끊임없는 전쟁을 치루는 칼레타 제국의
천재 기사로 칭송 받던 '루스티카 제너스'는
거짓말처럼 하루아침에 모든 힘이 증발했다.

그 후, 4년 간 폐인처럼 칩거하던 그녀 앞에 나타나
달콤한 하룻밤을 보낸 정체 모를 남자 '헤이든'은
과거의 루스티카를 기억하고 있는데…. 

한편, 칼레타의 황제가 칩거하던 그녀를 소환해
무너진 장벽 너머 오랜 적국이던 페르세타 제국의 외교관으로 파견을 명한다.

모든 힘을 잃어버린 전직 기사 루스티카는 과거의 자신을 되찾을 수 있을까?",로맨스
"사랑, 그거 어떻게 하는 건데",이범,9.96,"베스트셀러 작가 이시원. 그가 쓴 범죄 스릴러 소설 <밧줄>에 나온 것과 똑같은 수법의 살인 사건이 현실에서 일어난다. 
피해자가 나왔고, 범인은 아직 잡히지 않았다. 시원은 죄책감과 트라우마로 스릴러 대신 로맨스를 쓰겠다고 마음 먹는데...
'이시원이 로맨스라고...? 매 소설마다 사람 다섯은 죽이는 그 이시원이?'
결국 시원은 '사랑'을 배우기 위해 오랜 친구 소담에게 연애 제안을 한다. 
과연 그들은 사랑과 범인을 모두 잡을 수 있을까?",로맨스
시한부의 아이까지 뺏으려 합니다,랍스타 / 이루이,9.84,"“아이에게 시한부 어머니를 남겨줄 생각이에요?”

부모님의 유품인 마법 거울이 보여준 미래는 참담했다.
아이를 낳고 나는 시한부가 되고, 남편의 정부가 아이를 두고 떠나라고 종용하는 미래.
아직 우린 결혼조차 하지 않았으니 불행한 미래도 피할 수 있을 거야.

“노공작께서 돌아가시면 우리도 헤어지자.”

북부의 차가운 설원을 닮은 네가, 나를 붙들 리 없으니.
그런데 이별을 이야기하는 나를 바라보는 네 눈빛은 왜 이렇게 뜨겁지?.

“아이가 없으면 아무 문제없는 거 아닌가? 그러니까 너도 이혼 같은 거 꿈도 꾸지 마. 그냥 내 옆에 있어.”

조심스럽게 다가온 네 입술에서 따뜻한 온기가 느껴졌다.
하지만 깊은 입맞춤은 그저 이제 이어질 기나긴 밤의 시작을 알리는 행위였을 뿐이다.",로맨스
달이 뜨지 않는 도시,뚱귤,9.83,"불행한 삶을 사는 여고생 하정의 유일한 낙은 인플루언서 ‘달달룬’의 일상을 훔쳐보는 것이다.
하정은 그녀에게 집착 수준의 애정을 갖고 집안 월패드까지 해킹해서 아주 사적인 삶조차 샅샅이 훔쳐본다. 
평소와 같이 달달룬의 방을 훔쳐보던 어느날. 하정은 달달룬의 죽음을 목격하게 되고, 다음날 죽은 그녀의 몸에 빙의된 자신을 발견하게 되는데….
2023 지상최대공모전 1기 우수상 수상작.",스릴러
공녀님의 꽃밭에는 그들이 산다,검오리 / 영락 / 고겨울,9.85,"가족의 사랑을 받고 싶어 새로 얻게 된 삶에 사랑을 바랬다. 그런데 웬걸?! 
정령왕의 인장 덕에 정령사의 자질을 갖고 태어났는데...
부모님과 두 오라버니들은 한없는 애정을 퍼붓고, 기사단은 제발 호위로 뽑아달라며 졸졸 따라다니기 일쑤다. 

게다가..""네 가벼운 바람은 내 간절한 염원이라는 것을 왜 몰라줄까."" 
동(東) 마계 지배자인 제 2악마는 시선 한번 달라 애원하고, 

""좋은 황제가 되고 싶다. 네가 편안히 머무르는 것으로 족할 제국을 만드는 황제가."" 
소꿉친구인 황태자는 날 위해 강한 제국을 만들겠다 선포한다. 

[우리 병아리 앞에 다 무릎을 꿇어라!] 계약한 정령들이 입버릇처럼 외치는 것은 덤. 
모두가 깨물지 못해 안달 난 병아리의 본격 꽃길 걷기!",로맨스
악녀교실,즛호,9.92,"같은 반 여자애에게 약점을 잡혀 괴롭힘 당하는 고등학생 '허정우'. 피폐한 나날을 보내던 정우의 반에 전학생 '한보라'가 온다. 까만 생머리와 다리에 얼룩을 가진 그 아이를 보고 정우는 강한 기시감을 느낀다. 아니나다를까, 시비 거는 반 아이들을
제압한 한보라는 그들에게 묻는다. '나랑 비슷한 애 본 적 있어?' 어쩌면 꼬인 것을 바로잡아줄 보라에게 정우는 접근하기로 하는데...",드라마
엘프,홍작가,9.96,"유원지 관리인 태인에게 자신을 '엘프'라 하는 이상한 손님 제솔이 찾아온다. 
그녀는 아버지의 유품을 달라고 하면서 그의 목걸이를 훔쳐 간다. 
그때, 태인을 납치(?) 하는 정체불명의 사람들. 
그들은 태인이 우리나라의 소수민족 '엘프'이며, 
'엘프' 중에서도 신처럼 모셔지는 강산의 후예라며 
태인에게 '엘프'가 이주할 수 있게 도와달라 부탁하는데...",판타지
제국 제일의 상속녀가 되었습니다,한강 / 요정용,9.91,"사람들이 기피하는 백색병에 걸려 힘겹게 살던 '에스텔'.
어느 날 주인공 '세리아'의 등장으로 전생을 떠올려 자신이 소설 속 엑스트라에게 빙의된 것임을 깨닫는다.
어렸을 적 하녀의 아이와 바뀌었단 이유로 집에서 쫓겨난 에스텔은 발루아가 형제들의 도움으로 목숨을 건지게 되고, 본래라면 세리아와 이어지는 남주인공 '클로드'와 엮이기 시작하는데...",로맨스
내가 왜 킬러?!,규잉,9.94,"뜻하지 않게 언더커버 요원이 된 '조', 본래 목표였던 사무직으로 옮겨가기 위해선 이번 임무를 완수해야 한다. 바로 범죄조직 산하의 극악무도한 킬러 집단 '들개들' 잠입수사! 무시무시한 킬러들에게서 정보를 빼내기 위해 같은 킬러로 위장하고 숨어들었지만 어째선지 조의 킬러로서의 명망이 점점 높아지는데..
우당탕탕 코믹 잠입수사기!",개그
학식의 꿈,으앵,9.95,"어려운 환경에서도 꿋꿋이 공부해 명문대에 합격했지만, 연애 점수는 0점인 예진.
남자친구를 만들고 싶다는 소망으로 이것저것 시도해 보는데….
때마침 예진의 앞에 나타난 유일한 남사친이자 체대생 현은 친구라는 탈을 쓰고 예진에게 점점 집착한다.
과연 예진은 높은 학식으로 집안을 일으키는 꿈과, 학식 먹으며 연애하는 꿈 두 가지를 모두 이룰 수 있을까?",로맨스
반려짐승,래형,9.95,"개라면 종을 가리지 않고 싫어하는 사람인 '안재필'.
애견인인 상사와의 마찰로 인해 다니던 직장을 그만두게 된 그는 작은 타투샵을 차린다.
그렇게 타투이스트로 살아가던 어느 날, 
재필은 집 근처에서 죽어가는 강아지 한마리를 발견하는데...
그 곁을 무심히 지나치려는 찰나, 그는 불현듯 빗속에서 죽어가던 자신의
어릴 적 모습을 떠올리게 된다.
개를 싫어하는 마음과 동정심이 교차하는 가운데 재필이 내린 선택은..?",드라마
두 번째 삶은 힐링라이프?,당토,9.9,"위대한 전사들의 가문 펠리비아의 사랑받는 막내아들 '유진 펠리비아'는 '창세의 마법사 펠린'의 은혜로 두 번째 삶을 얻는다.
유진은 자신을 구원해준 펠린과 같은 마법사가 되어 세상을 이롭게 하겠다는 꿈을 가지지만, 어두운 현실과 운명은 여전히 그를 놓아주지 않는데..",판타지
찌질하지만 로맨스는 하고 싶어,상수,9.24,"여자랑 말도 제대로 못 해본 탓에 쉽게 설레고 의미부여하는 금사빠 이현태.
그렇지만 마음 속엔 순수한 사랑을 꿈꾼다. 
이런 현태의 찌질함을 때려서라도 바로잡아 주는 ‘젊꼰’ 선배 윤지희.
현태는 또 다시 사랑에 빠졌다. ‘금사빠라고? 아니야, 이번엔 진짜로 진지하다고!'
한 소년의 성장기이자 모든 남자들의 순수한 첫사랑 이야기.",로맨스
고백어택,늠개,9.83,"하나는 언제나 2등이었다. 늘 1등을 하는 한건우 때문에!
속을 알 수 없는 건우를 무너뜨리기 위해 수단과 방법을 가리지 않던 하나.
이번에는 가짜 고백으로 멘탈을 흔들려 했는데...
어라, 얘 이 고백 왜 받지? 뭐... 내가 좋다고?!",로맨스
다육이는 잘 자란다,도국,9.88,"평범한 모범생 '다육이'는 선도부 활동 중, 복장 불량인 선배를 적었단 이유로 일진 무리의 리더 '이선경'과 엮이게 된다.
'이선경'의 협박으로 일탈한 행동에 참여하게 되며 계속 엮이게 되는 두 사람에게 기묘한 관계가 생기게 되는데...",드라마
어쌔신 크리드 - 잊혀진 사원,"ARC, Ubisoft, NOHT / Tabii",9.88,"잃어버린 사원의 전설에 대한 단서를 얻은 에드워드 켄웨이.
이번엔 해적이 아닌 암살단원으로서 다시 바다로 향한다.
""내가 에드워드 켄웨이라고? 이게 무슨 일이지...?""
그리고 애니머스를 통해 머나먼 조상 에드워드 켄웨이의 기억을 따라가는 김노아.
18세기 동남아 남중국해 무대에서 <어쌔신 크리드 IV: 블랙 플래그>의 후속편이 시작된다!

""템플러들이 발견하기 전에, 내가 먼저 찾아주지.""",판타지
프로페서,다드래기 / 노리 / 김연우,9.45,"“자네라면 내 유고를 맡길 수 있겠어. 이어서 써 줄 텐가?”
세계적인 학자의 유품을 물려받게 된 대학원생 박민우.
3류대 출신 인문학도의 위대한 도전이 시작된다!",감성
날 먹는 건 금지양!,조9,9.97,"잘생겼지만 성격이 개(?) 같기로 유명한 '남해술'은 소꿉친구인 '양미루'에게만 잘해준다. 
좋아해서 잘해주는 게 분명해! 정말 그런 걸까?
해술이의 속마음을 전혀 모르겠는 미루. 
그러던 어느 날, 미루는 해술이가 품고있는 ''흑심'에 대해 알게 되는데!
10년 우정에 금이 가기 시작한다..! 
늑대소년과 순둥이 소녀의 천방지축 성장기!",로맨스
컨트롤X,사이렌 / 서클,9.5,"10년 사귄 전남친 '다니엘'이 절친 '올리비아'와 결혼했다. 그것도 내 생일인 크리스마스에!!!!
세계적인 싱어송라이터 '크리스'는 다니엘과 올리비아의 결혼식에 깜짝 방문해 그곳을 콘서트장으로 만들며 보기좋게 복수한다. 
하지만 다음날 아침, 크리스는 충격적인 소식을 접하게 된다. 
크리스는 과연 잃어버린 사랑, 우정, 명성을 모두 되찾을 수 있을까?",로맨스
포스트 팬데믹,좡좡 / 영명 / 한산이가,9.88,"어느 날, 한국대학교병원으로 실려 왔던 아르스24 변종 의심 환자가 탈출했다.
자신이 담당하고 있던 환자를 놓친 것에 대해 책임감을 느낀 감염내과 교수 정유현은 환자를 수색하는 일에 발 벗고 나서기로 하며, 환자가 마지막으로 목격된 화성시 수락 마을로 향한다. 그리고 그들은 마을 입구에서 무언가와 맞딱뜨리게 되는데...,
2m에 달하는 키, 일반 성인 남성보다 훨씬 거대한 체구, 손에 들린 동물의 시체, 피로 얼룩지고 찢어진 옷, 노인의 얼굴을 하고 있지만 노인으로 보기 힘든 남자의 모습.
수색조는 남자의 모습에 순간 압도당하고 만다. 그리고 정유현은 남자의 기이한 모습과 도망친 환자가 병원에서 보여 줬던 이상 증세가 서로 연관성이 있음을 발견하게 되는데...",스릴러
나의 보이소프렌드,망공이,9.93,"피아노 천재인 신비는 한 때 천재 보이소프라노인 태의와 오랫동안 합을 맞춰왔다. 어느 날 돌연 유학을 떠나버린 태의, 피아노 천재에서 평범한 학생으로 돌아온 신비. 5년 후 극적으로 재회한 두 고등학생들의 콩쿠르 도전이 시작된다. 2022 최강자전 대상 수상작!",드라마
선빵필승!,해미,9.03,"실패한 짝사랑만 몇 번째인지.. 그러던 중 눈에 들어온 캠퍼스 내 광고지.
앱 내에서 커플 성사 시 커플 지원금 500만 원 지급!
소개팅 앱 체험단에 참여해서 커플이 되면 상금을 준다고?!
상금도 얻고, 사랑도 얻어라! 소개팅 앱 <선빵필승>을 통해 얽히고설키는 삼각관계 이야기",로맨스
오늘의 일기예보,지휘,9.86,"새내기 시절 불같은 사랑을 했던 '예보'와 '일'
통칭 '일기예보'로 불리며 학과의 유명한 CC였으나,
대차게 헤어진 후 둘은 각자 휴학을 하고 만다.
그런데, 몇 년 뒤 다시 학교에서 재회하게 되었다?!
""너네 CC 하지 마라. 일기예보처럼 돼!.""
휴학을 해도 잊혀지지 않은 희대의 CC.
과연 남은 대학 생활을 무사히 마칠 수 있을까?",로맨스
처음을 줄게!,을승,9.81,"스무살 소윤, 고등학교 졸업과 함께 찾아온 이별의 아픔은 잠시! 첫 대학 친구들, 선배들. 처음 먹는 음식, 처음 가보는 장소. 첫 사랑과 첫 설렘. 새로 기록하게 될 나의 모든 처음을 위하여. 소심해도 할 말은 다 하는 소윤의 차곡차곡 캠퍼스 로맨스!",로맨스
티엔다비스 - 완벽한 구원을 위하여,삼공 / 느링 / 김영지,9.93,"“생긴 대로 버르장머리가 없으시네요!”

사랑스러운 성녀 후보, 이비 아리아테에게 어느 날 저주가 내렸다.
요컨대 모든 물음에 반드시 진실을 답하는 저주.
별안간 닥친 저주로 전도유망한 앞날과
잡힐 듯 가깝던 성녀 자리가 한없이 멀어지고 마는데.

그럼에도 이비는 반드시 성녀가 되어야 한다.

비밀이 가득한 세계,
티엔다비스의 완벽한 구원을 위하여!",로맨스
러브 똘츄얼리,김진경,7.77,"어제 분명히 나랑 뽀뽀했던 썸남이 오늘은 내 친구의 남친이란다. 하루아침에 사랑과 우정 모두 잃고 왕따가 된 ‘서정’. 설상가상 극혐하는 음침 안경잡이 ‘이담’과 키스까지 하게 되는데….
그렇게 얼렁뚱땅 시작된 서정과 이담의 똘끼충만 로맨스!",로맨스
악취해결사,샘샘,9.94,"""이 지긋지긋한 마스크...!!""
태어나서 한 번도 마스크를 벗은 모습으로 나가본 적 없는 김무명.
사람들의 부정적인 감정이 내뿜는 악취를 맡을 수도, 볼 수도 있는 무명이 가장 뒤가 구리다는 소문의 명문 고등학교에 진학하게 된다.
끊임없이 마주하는 악취들과 사건들 사이에서 무명은 앞으로 이 학교에서 잘 버틸 수 있을까?",드라마
어느날 짝남에게 공작님이 빙의했다,다담 / 죽순,9.8,"짝사랑하던 소꿉친구의 몸에
로판 속 공작님이 빙의해버렸다.

외모, 성적, 성격 모든 게 완벽하던 소꿉친구였는데…
……이 사고뭉치는 뭐야?!! 내 짝남 돌려내!
생활력 빵점 오만한 공작님과 로판 덕후 유소아의 좌충우돌 학원로맨스",로맨스
좋아? 죽어!,"김용키, 박만사 / 죠",9.52,"남자들이면 한번쯤 뒤돌아볼만한 예쁜 외모를 가진 '민주'
그녀의 직업은 인터넷 방송인. 그저 시청자 수를 늘리고 유명해지기만을 꿈꾸며 달려오던 민주에게 서서히 다가오는 두 검은 그림자.
호락호락 당할수는 없다. '서로 물어뜯다 죽여버려.'
세 청춘남녀의 온라인 안과 밖을 넘나드는 서스펜스 로맨틱 스릴러.",스릴러
마음의소리2,조석,9.94,"'마음의소리' 완결 후 3년, 조석 작가의 결코 소소하지 않은 일상(?) 대공개! 
제목은... '너는 그냥 개그만화나 그려라'
(였는데 다들 '마음의소리2'라 불러서 제목 바꿈)",개그
서울 자가에 대기업 다니는 김 부장 이야기,명랑 / 김병관 / 송희구,9.92,"집에서는 과묵하지만 누구보다 아내와 자식을 생각하고, 
회사에서는 책임감 있는 팀의 리더로 인정받으며 살아가지만 
세상은 그를 꼰대라고 부른다.
스스로의 행복보다는 남의 시선이 더 중요한 사람. 
그래서 나의 이야기보단 남의 자식, 남이 타는 차, 남이 살고 있는 
집의 이야기에 민감하고 집착하는 김 부장. 
서울 자가에 대기업을 다니는 김 부장은 행복해 질 수 있을까?",드라마
괴력 난신,매드버드 / 김태형 / 한중월야,9.95,"살인에서 삶의 즐거움을 느끼는 '겸살귀', 정(正).
대 연목검장의 셋째공자 목경운과 똑같이 생긴 얼굴을 가졌는데...
""나의 대역이 되어라. 그러면 옥에서 나갈 수 있게 해 주마.""
""그 기회. 제게 주시겠습니까?""

'촤악-!!!'

셋째공자를 죽여버린다. 그리고 본인이 '진짜'가 되어 살아가고자 한다.
가짜 목경운은 진짜 목경운으로서 살아남을 수 있을까?
연쇄살인마, 대 연목검장의 셋째공자로서 새로운 삶을 시작한다.",무협/사극
유부 감자,감자,9.95,"소개팅 첫날 결혼을 약속한 부부가 있다?!
아무것도 모르는 감자와 모든 것을 실천하는 남자가 만났다.
달라도 이렇게 다를 수 있을까? 
다른 세상에서 사는 남녀가 만나 벌어지는 우당탕탕 인생대소사 결혼이야기! 
오늘도 감자와 훈남이 보여주는 행복하고 눈물겨운 유부들의 결혼툰!",일상
이섭의 연애,248 / 김언희,9.97,"10년 연속 업무달성률 1위! 최단기 최연소 승진 코스를 밟고 있는 최우수 사원!
1등만 해 온 나에게 첫 2등의 경험을 안겨준 입사동기, 강민경.
내 자존심을 짓밟은 그녀가 나, 태이섭 전무의 비서가 됐다.
그 뛰어난 업무처리 능력으로 나까지 처리해 버리려고?
업무 그만 하시고 여기 좀 봐주시죠, 강민경씨!
아무것도 하기 싫은 태이섭과 어떻게든 해내야 하는 강민경의 대환장 오피스 로맨스!",로맨스
욕망일기Deep,"박만사, 김꿀빨 / 누리마루",8.47,"더욱 더 매운맛으로 돌아온 욕망일기의 새로운 에피소드
인간이라면 누구나 가질법한 욕망,
그것이 현실로 이루어진다면?
그 끝은 과연 행복일까 파멸일까..",스릴러
피부과 만렙남,LICO,9.94,"여드름, 흉터, 모공으로 가득했던 울퉁불퉁 피부의 소유자 김달걀! 
썸녀가 생기며 피부관리를 하기로 결심하고, 각종 시술과 홈케어를 통해 비로소 깐달걀로 거듭나게 되는데...! 
매끈매끈 피부로 거듭나기까지 눈물 없이 볼 수 없는 피부과 시술과 홈케어의 비법, 
달걀이가 들려주는 그 적나라한 이야기!",일상
유사연애,여은,9.86,"연애는 싫지만 스킨십은 하고 싶은 솔로 1년차 '윤재'. 윤재네 회사에 누가 봐도 인기 있어 보이는 '민석'이 입사한다. 
윤재에게 따로 술을 먹자고도 하지만 잘들어갔냐는 문자는 없고, 아무렇지 않게 듣기 좋은 말을 해대면서도 선을 긋는 듯한 애매모호한 태도의 민석. 
밥도 먹고 영화도 보고 스킨십도 하지만, 사귀지는 않는 우리는 과연 무슨 사이일까? 30대 우리의 연애 아닌 그 어떤 것.",로맨스
신입사원 김철수,스튜디오MW / 권다희 / 오정,9.91,"평생을 바친 회사로부터 버림받은 그날,
입사 첫 날의 그 순간으로 돌아와 버렸다?
국내 굴지의 대기업 한영통산에 입사한 무스펙 신입사원 김철수.
과연 이번 생에는 그토록 염원하던 '사장'의 자리에 오를 수 있을까?
현대판 입지전적 자수성가 스토리!",판타지
